flight_number,airline,origin,destination,date,day_of_week,month,scheduled_departure,actual_departure,delay_minutes,delay_category,delay_reason,distance,hour_of_day
SO4425,Southwest Airlines,MSP,BOS,2024-06-24,Monday,June,2024-06-24 08:00:00,2024-06-24 08:09:00,9,Minor Delay,Baggage Loading,1333,8
AM5564,American Airlines,LAX,SLC,2024-01-23,Tuesday,January,2024-01-23 22:15:00,2024-01-24 02:23:00,248,Severe Delay,Weather,658,22
UN9038,United Airlines,DFW,JFK,2024-02-08,Thursday,February,2024-02-08 15:15:00,2024-02-08 15:29:00,14,Minor Delay,Air Traffic Control,1462,15
AM5962,American Airlines,MCO,SAN,2024-07-05,Friday,July,2024-07-05 08:00:00,2024-07-05 08:09:00,9,Minor Delay,Late Arrival,1864,8
UN3978,United Airlines,CLT,MCO,2024-11-13,Wednesday,November,2024-11-13 20:00:00,2024-11-13 20:07:00,7,Minor Delay,Baggage Loading,1886,20
SO4471,Southwest Airlines,CLT,IAD,2024-12-08,Sunday,December,2024-12-08 06:00:00,2024-12-08 08:23:00,143,Severe Delay,Aircraft Issue,2085,6
JE3828,JetBlue Airways,LAS,ATL,2024-06-28,Friday,June,2024-06-28 16:45:00,2024-06-28 16:51:00,6,Minor Delay,Air Traffic Control,1343,16
SP8885,Spirit Airlines,SEA,ATL,2024-06-28,Friday,June,2024-06-28 06:30:00,2024-06-28 06:35:00,5,Minor Delay,Baggage Loading,356,6
SP5763,Spirit Airlines,IAD,SEA,2024-02-25,Sunday,February,2024-02-25 12:00:00,2024-02-25 12:17:00,17,Moderate Delay,Airport Congestion,1243,12
SP127,Spirit Airlines,MSP,PHL,2024-01-23,Tuesday,January,2024-01-23 16:15:00,2024-01-23 16:25:00,10,Minor Delay,Air Traffic Control,2920,16
AL2141,Alaska Airlines,IAD,MIA,2024-06-18,Tuesday,June,2024-06-18 13:45:00,2024-06-18 13:51:00,6,Minor Delay,Late Arrival,1411,13
UN3243,United Airlines,EWR,SAN,2024-10-10,Thursday,October,2024-10-10 21:15:00,2024-10-10 21:19:00,4,Minor Delay,Baggage Loading,1863,21
AM5078,American Airlines,MIA,MCO,2024-10-07,Monday,October,2024-10-07 12:30:00,2024-10-07 12:42:00,12,Minor Delay,Baggage Loading,2967,12
FR2880,Frontier Airlines,SLC,DEN,2024-04-19,Friday,April,2024-04-19 09:30:00,2024-04-19 09:46:00,16,Moderate Delay,Airport Congestion,2955,9
SO3362,Southwest Airlines,LAX,ATL,2024-06-07,Friday,June,2024-06-07 04:45:00,2024-06-07 05:00:00,15,Minor Delay,Air Traffic Control,2065,4
SO6391,Southwest Airlines,BOS,JFK,2024-07-31,Wednesday,July,2024-07-31 08:00:00,2024-07-31 09:24:00,84,Severe Delay,Airport Congestion,1096,8
FR922,Frontier Airlines,DTW,LAS,2024-03-31,Sunday,March,2024-03-31 20:00:00,2024-03-31 20:04:00,4,Minor Delay,Baggage Loading,2934,20
AL7351,Alaska Airlines,LGA,MSP,2024-09-28,Saturday,September,2024-09-28 12:45:00,2024-09-28 17:18:00,273,Severe Delay,Airport Congestion,1261,12
JE8640,JetBlue Airways,BOS,SLC,2024-05-06,Monday,May,2024-05-06 08:45:00,2024-05-06 08:51:00,6,Minor Delay,Baggage Loading,1160,8
AL5338,Alaska Airlines,DTW,DEN,2024-05-19,Sunday,May,2024-05-19 06:15:00,2024-05-19 06:20:00,5,Minor Delay,Air Traffic Control,1076,6
SP6778,Spirit Airlines,SEA,PHL,2024-02-02,Friday,February,2024-02-02 13:00:00,2024-02-02 13:07:00,7,Minor Delay,Baggage Loading,1795,13
AM9532,American Airlines,JFK,MSP,2024-10-26,Saturday,October,2024-10-26 00:30:00,2024-10-26 00:44:00,14,Minor Delay,Baggage Loading,1916,0
SO8099,Southwest Airlines,LAS,MIA,2024-10-02,Wednesday,October,2024-10-02 12:00:00,2024-10-02 12:20:00,20,Moderate Delay,Late Arrival,876,12
UN8851,United Airlines,ATL,EWR,2024-08-27,Tuesday,August,2024-08-27 15:00:00,2024-08-27 15:10:00,10,Minor Delay,Baggage Loading,755,15
UN923,United Airlines,PHX,EWR,2024-08-24,Saturday,August,2024-08-24 10:45:00,2024-08-24 10:49:00,4,Minor Delay,Baggage Loading,1339,10
JE1441,JetBlue Airways,BOS,ATL,2024-08-03,Saturday,August,2024-08-03 18:00:00,2024-08-03 21:29:00,209,Severe Delay,Aircraft Issue,2862,18
AM608,American Airlines,LAS,MCO,2024-02-05,Monday,February,2024-02-05 19:15:00,2024-02-05 19:23:00,8,Minor Delay,Baggage Loading,2942,19
SO7719,Southwest Airlines,SAN,PHX,2024-02-28,Wednesday,February,2024-02-28 18:15:00,2024-02-28 18:38:00,23,Moderate Delay,Weather,870,18
DE9581,Delta Air Lines,ATL,SEA,2024-06-08,Saturday,June,2024-06-08 15:45:00,2024-06-08 15:53:00,8,Minor Delay,Late Arrival,1012,15
SO1769,Southwest Airlines,SAN,MIA,2024-02-08,Thursday,February,2024-02-08 19:00:00,2024-02-08 19:51:00,51,Moderate Delay,Air Traffic Control,2382,19
AL1229,Alaska Airlines,MSP,SLC,2024-08-07,Wednesday,August,2024-08-07 10:45:00,2024-08-07 12:09:00,84,Severe Delay,Airport Congestion,1683,10
FR2606,Frontier Airlines,EWR,CLT,2024-11-21,Thursday,November,2024-11-21 17:30:00,2024-11-21 17:36:00,6,Minor Delay,Late Arrival,2180,17
SP9807,Spirit Airlines,PHX,IAH,2024-08-26,Monday,August,2024-08-26 19:00:00,2024-08-26 19:06:00,6,Minor Delay,Baggage Loading,1198,19
SP5611,Spirit Airlines,ATL,MSP,2024-08-25,Sunday,August,2024-08-25 19:15:00,2024-08-25 19:25:00,10,Minor Delay,Baggage Loading,1258,19
JE9867,JetBlue Airways,SAN,PHX,2024-06-23,Sunday,June,2024-06-23 14:15:00,2024-06-23 14:19:00,4,Minor Delay,Late Arrival,1864,14
SO7900,Southwest Airlines,BWI,IAD,2024-09-07,Saturday,September,2024-09-07 13:00:00,2024-09-07 13:05:00,5,Minor Delay,Air Traffic Control,1856,13
SO5116,Southwest Airlines,SLC,PHL,2024-12-20,Friday,December,2024-12-20 10:30:00,2024-12-20 10:45:00,15,Minor Delay,Late Arrival,2454,10
AL7534,Alaska Airlines,PHX,SEA,2024-06-18,Tuesday,June,2024-06-18 08:00:00,2024-06-18 11:11:00,191,Severe Delay,Weather,2394,8
UN3238,United Airlines,MCO,MSP,2024-12-19,Thursday,December,2024-12-19 09:30:00,2024-12-19 11:39:00,129,Severe Delay,Crew Issue,1131,9
UN5052,United Airlines,ATL,IAD,2024-07-03,Wednesday,July,2024-07-03 14:30:00,2024-07-03 14:40:00,10,Minor Delay,Air Traffic Control,2466,14
UN8142,United Airlines,ORD,ATL,2024-05-29,Wednesday,May,2024-05-29 15:45:00,2024-05-29 15:53:00,8,Minor Delay,Baggage Loading,955,15
JE7927,JetBlue Airways,ORD,DEN,2024-01-27,Saturday,January,2024-01-27 11:00:00,2024-01-27 11:16:00,16,Moderate Delay,Weather,821,11
JE1495,JetBlue Airways,LAS,ORD,2024-03-17,Sunday,March,2024-03-17 14:45:00,2024-03-17 14:49:00,4,Minor Delay,Late Arrival,1124,14
SP7481,Spirit Airlines,SFO,MIA,2024-09-24,Tuesday,September,2024-09-24 19:45:00,2024-09-24 19:51:00,6,Minor Delay,Late Arrival,446,19
DE3504,Delta Air Lines,BWI,MCO,2024-11-08,Friday,November,2024-11-08 08:00:00,2024-11-08 08:10:00,10,Minor Delay,Air Traffic Control,2460,8
UN143,United Airlines,EWR,BOS,2024-02-08,Thursday,February,2024-02-08 16:45:00,2024-02-08 16:55:00,10,Minor Delay,Air Traffic Control,1380,16
JE7538,JetBlue Airways,DEN,SAN,2024-12-27,Friday,December,2024-12-27 08:30:00,2024-12-27 10:41:00,131,Severe Delay,Airport Congestion,670,8
SO2541,Southwest Airlines,PHX,LAX,2024-10-05,Saturday,October,2024-10-05 05:15:00,2024-10-05 08:12:00,177,Severe Delay,Airport Congestion,709,5
JE6694,JetBlue Airways,PHX,DTW,2024-08-27,Tuesday,August,2024-08-27 14:45:00,2024-08-27 14:47:00,2,Minor Delay,Air Traffic Control,1969,14
JE523,JetBlue Airways,DEN,PHX,2024-06-14,Friday,June,2024-06-14 22:00:00,2024-06-15 00:47:00,167,Severe Delay,Weather,917,22
FR4657,Frontier Airlines,CLT,LGA,2024-08-28,Wednesday,August,2024-08-28 12:45:00,2024-08-28 17:15:00,270,Severe Delay,Crew Issue,1872,12
AL1813,Alaska Airlines,CLT,IAH,2024-06-19,Wednesday,June,2024-06-19 12:45:00,2024-06-19 12:50:00,5,Minor Delay,Baggage Loading,2453,12
FR1542,Frontier Airlines,SEA,PHX,2024-01-19,Friday,January,2024-01-19 09:45:00,2024-01-19 10:15:00,30,Moderate Delay,Late Arrival,1892,9
SO8594,Southwest Airlines,IAH,BWI,2024-01-28,Sunday,January,2024-01-28 18:45:00,2024-01-28 20:59:00,134,Severe Delay,Crew Issue,2449,18
JE7278,JetBlue Airways,SAN,BOS,2024-03-08,Friday,March,2024-03-08 06:15:00,2024-03-08 09:24:00,189,Severe Delay,Weather,2462,6
DE3781,Delta Air Lines,ORD,BOS,2024-07-27,Saturday,July,2024-07-27 21:15:00,2024-07-27 21:22:00,7,Minor Delay,Late Arrival,1395,21
JE6907,JetBlue Airways,BOS,MSP,2024-09-17,Tuesday,September,2024-09-17 08:15:00,2024-09-17 08:26:00,11,Minor Delay,Late Arrival,2281,8
DE4626,Delta Air Lines,EWR,SEA,2024-03-10,Sunday,March,2024-03-10 21:30:00,2024-03-11 00:24:00,174,Severe Delay,Crew Issue,2604,21
FR2534,Frontier Airlines,SFO,PHL,2024-10-23,Wednesday,October,2024-10-23 13:30:00,2024-10-23 13:40:00,10,Minor Delay,Late Arrival,1745,13
AL3190,Alaska Airlines,SAN,LAS,2024-08-21,Wednesday,August,2024-08-21 15:15:00,2024-08-21 19:15:00,240,Severe Delay,Weather,1503,15
SP6425,Spirit Airlines,SLC,BWI,2024-08-30,Friday,August,2024-08-30 23:45:00,2024-08-31 01:19:00,94,Severe Delay,Crew Issue,611,23
DE8717,Delta Air Lines,SFO,ATL,2024-08-13,Tuesday,August,2024-08-13 17:45:00,2024-08-13 19:34:00,109,Severe Delay,Weather,2123,17
AL6612,Alaska Airlines,BWI,DEN,2024-05-15,Wednesday,May,2024-05-15 19:45:00,2024-05-16 00:24:00,279,Severe Delay,Weather,2729,19
SO4808,Southwest Airlines,LAS,DEN,2024-02-05,Monday,February,2024-02-05 12:00:00,2024-02-05 13:21:00,81,Severe Delay,Airport Congestion,881,12
JE574,JetBlue Airways,DFW,IAH,2024-12-21,Saturday,December,2024-12-21 18:30:00,2024-12-21 18:37:00,7,Minor Delay,Baggage Loading,796,18
SP9372,Spirit Airlines,SLC,CLT,2024-05-05,Sunday,May,2024-05-05 07:00:00,2024-05-05 07:01:00,1,Minor Delay,Baggage Loading,2738,7
SO8253,Southwest Airlines,PHL,LAX,2024-12-15,Sunday,December,2024-12-15 08:30:00,2024-12-15 08:38:00,8,Minor Delay,Late Arrival,238,8
JE9055,JetBlue Airways,CLT,DEN,2024-08-26,Monday,August,2024-08-26 12:30:00,2024-08-26 15:33:00,183,Severe Delay,Airport Congestion,1224,12
JE3363,JetBlue Airways,JFK,MSP,2024-08-21,Wednesday,August,2024-08-21 06:45:00,2024-08-21 06:53:00,8,Minor Delay,Late Arrival,1411,6
JE459,JetBlue Airways,SLC,JFK,2024-12-24,Tuesday,December,2024-12-24 09:00:00,2024-12-24 13:44:00,284,Severe Delay,Crew Issue,1142,9
AL3688,Alaska Airlines,BWI,MCO,2024-11-06,Wednesday,November,2024-11-06 15:15:00,2024-11-06 15:51:00,36,Moderate Delay,Weather,1465,15
AM9595,American Airlines,IAH,LAX,2024-08-13,Tuesday,August,2024-08-13 05:30:00,2024-08-13 05:37:00,7,Minor Delay,Baggage Loading,919,5
UN8937,United Airlines,IAH,DTW,2024-04-12,Friday,April,2024-04-12 13:30:00,2024-04-12 16:11:00,161,Severe Delay,Airport Congestion,1408,13
DE7773,Delta Air Lines,DEN,CLT,2024-06-22,Saturday,June,2024-06-22 18:15:00,2024-06-22 22:08:00,233,Severe Delay,Crew Issue,569,18
AM4432,American Airlines,DTW,ORD,2024-07-21,Sunday,July,2024-07-21 12:30:00,2024-07-21 12:40:00,10,Minor Delay,Late Arrival,1721,12
SO7824,Southwest Airlines,ATL,BWI,2024-02-25,Sunday,February,2024-02-25 20:30:00,2024-02-25 22:53:00,143,Severe Delay,Weather,2802,20
JE6789,JetBlue Airways,ORD,CLT,2024-08-25,Sunday,August,2024-08-25 04:00:00,2024-08-25 04:18:00,18,Moderate Delay,Late Arrival,675,4
SO8907,Southwest Airlines,LAX,EWR,2024-02-19,Monday,February,2024-02-19 12:45:00,2024-02-19 12:59:00,14,Minor Delay,Late Arrival,832,12
DE8117,Delta Air Lines,LGA,EWR,2024-07-31,Wednesday,July,2024-07-31 21:30:00,2024-07-31 21:51:00,21,Moderate Delay,Air Traffic Control,1089,21
FR3968,Frontier Airlines,IAH,ORD,2024-08-15,Thursday,August,2024-08-15 23:30:00,2024-08-15 23:32:00,2,Minor Delay,Late Arrival,1669,23
SP4620,Spirit Airlines,MCO,ORD,2024-02-01,Thursday,February,2024-02-01 21:45:00,2024-02-01 21:48:00,3,Minor Delay,Air Traffic Control,2828,21
AM928,American Airlines,SEA,LAS,2024-11-23,Saturday,November,2024-11-23 23:15:00,2024-11-23 23:20:00,5,Minor Delay,Late Arrival,1048,23
SO3917,Southwest Airlines,SEA,LAX,2024-10-27,Sunday,October,2024-10-27 18:00:00,2024-10-27 18:01:00,1,Minor Delay,Air Traffic Control,732,18
JE2958,JetBlue Airways,ORD,SAN,2024-10-03,Thursday,October,2024-10-03 19:15:00,2024-10-03 19:23:00,8,Minor Delay,Air Traffic Control,2611,19
AM2954,American Airlines,PHX,DFW,2024-06-14,Friday,June,2024-06-14 06:45:00,2024-06-14 06:48:00,3,Minor Delay,Late Arrival,460,6
FR6031,Frontier Airlines,MSP,LGA,2024-08-31,Saturday,August,2024-08-31 06:15:00,2024-08-31 07:07:00,52,Moderate Delay,Air Traffic Control,2076,6
AM1096,American Airlines,BOS,JFK,2024-11-25,Monday,November,2024-11-25 12:00:00,2024-11-25 12:22:00,22,Moderate Delay,Late Arrival,501,12
AL2530,Alaska Airlines,DEN,CLT,2024-02-11,Sunday,February,2024-02-11 09:30:00,2024-02-11 09:34:00,4,Minor Delay,Late Arrival,2373,9
FR8382,Frontier Airlines,LGA,EWR,2024-05-30,Thursday,May,2024-05-30 06:00:00,2024-05-30 08:20:00,140,Severe Delay,Airport Congestion,2049,6
SP5653,Spirit Airlines,SFO,JFK,2024-04-26,Friday,April,2024-04-26 12:00:00,2024-04-26 12:06:00,6,Minor Delay,Baggage Loading,2924,12
AL2600,Alaska Airlines,SLC,BOS,2024-05-10,Friday,May,2024-05-10 05:00:00,2024-05-10 05:14:00,14,Minor Delay,Air Traffic Control,1726,5
AM9708,American Airlines,DTW,PHL,2024-03-07,Thursday,March,2024-03-07 10:00:00,2024-03-07 10:02:00,2,Minor Delay,Late Arrival,1932,10
JE9937,JetBlue Airways,MIA,JFK,2024-01-27,Saturday,January,2024-01-27 06:15:00,2024-01-27 06:16:00,1,Minor Delay,Baggage Loading,1118,6
AL9213,Alaska Airlines,IAH,ORD,2024-02-25,Sunday,February,2024-02-25 18:15:00,2024-02-25 18:58:00,43,Moderate Delay,Air Traffic Control,318,18
JE5162,JetBlue Airways,SEA,JFK,2024-04-02,Tuesday,April,2024-04-02 00:15:00,2024-04-02 00:24:00,9,Minor Delay,Baggage Loading,485,0
AM1603,American Airlines,IAD,MSP,2024-03-13,Wednesday,March,2024-03-13 08:45:00,2024-03-13 08:55:00,10,Minor Delay,Air Traffic Control,1715,8
AL9399,Alaska Airlines,LGA,DEN,2024-06-08,Saturday,June,2024-06-08 20:15:00,2024-06-08 20:29:00,14,Minor Delay,Late Arrival,403,20
DE4558,Delta Air Lines,SFO,SAN,2024-12-11,Wednesday,December,2024-12-11 12:45:00,2024-12-11 12:57:00,12,Minor Delay,Air Traffic Control,2298,12
AL7143,Alaska Airlines,ORD,SEA,2024-02-28,Wednesday,February,2024-02-28 16:45:00,2024-02-28 16:55:00,10,Minor Delay,Baggage Loading,386,16
SP9919,Spirit Airlines,DFW,ATL,2024-04-22,Monday,April,2024-04-22 07:15:00,2024-04-22 09:55:00,160,Severe Delay,Crew Issue,1543,7
AM8249,American Airlines,IAD,EWR,2024-03-02,Saturday,March,2024-03-02 07:45:00,2024-03-02 07:49:00,4,Minor Delay,Air Traffic Control,2249,7
AL1280,Alaska Airlines,JFK,DFW,2024-10-13,Sunday,October,2024-10-13 12:45:00,2024-10-13 15:55:00,190,Severe Delay,Airport Congestion,2548,12
SP4843,Spirit Airlines,ORD,EWR,2024-07-26,Friday,July,2024-07-26 01:30:00,2024-07-26 01:39:00,9,Minor Delay,Late Arrival,2084,1
AL1543,Alaska Airlines,EWR,ORD,2024-12-19,Thursday,December,2024-12-19 08:45:00,2024-12-19 08:55:00,10,Minor Delay,Baggage Loading,1470,8
SO5556,Southwest Airlines,CLT,DEN,2024-06-22,Saturday,June,2024-06-22 14:00:00,2024-06-22 14:04:00,4,Minor Delay,Air Traffic Control,1631,14
UN3971,United Airlines,ORD,CLT,2024-06-28,Friday,June,2024-06-28 08:15:00,2024-06-28 08:42:00,27,Moderate Delay,Weather,925,8
FR7701,Frontier Airlines,PHL,LGA,2024-11-17,Sunday,November,2024-11-17 12:30:00,2024-11-17 15:41:00,191,Severe Delay,Aircraft Issue,2001,12
FR7345,Frontier Airlines,BWI,MIA,2024-02-04,Sunday,February,2024-02-04 18:00:00,2024-02-04 18:11:00,11,Minor Delay,Air Traffic Control,1471,18
FR716,Frontier Airlines,DFW,JFK,2024-08-24,Saturday,August,2024-08-24 19:00:00,2024-08-24 19:03:00,3,Minor Delay,Air Traffic Control,2719,19
SP7681,Spirit Airlines,PHL,DTW,2024-10-31,Thursday,October,2024-10-31 22:00:00,2024-10-31 22:14:00,14,Minor Delay,Late Arrival,2869,22
AL7892,Alaska Airlines,MSP,LAX,2024-04-06,Saturday,April,2024-04-06 22:45:00,2024-04-06 23:01:00,16,Moderate Delay,Air Traffic Control,545,22
UN741,United Airlines,LAS,IAD,2024-09-15,Sunday,September,2024-09-15 12:45:00,2024-09-15 12:56:00,11,Minor Delay,Late Arrival,850,12
AL4734,Alaska Airlines,JFK,SFO,2024-07-05,Friday,July,2024-07-05 18:00:00,2024-07-05 21:21:00,201,Severe Delay,Weather,1550,18
SP4755,Spirit Airlines,PHX,SAN,2024-02-18,Sunday,February,2024-02-18 22:15:00,2024-02-18 22:21:00,6,Minor Delay,Late Arrival,2918,22
AL5182,Alaska Airlines,BWI,IAD,2024-03-13,Wednesday,March,2024-03-13 16:15:00,2024-03-13 16:19:00,4,Minor Delay,Air Traffic Control,1468,16
SP5481,Spirit Airlines,LAX,SAN,2024-10-13,Sunday,October,2024-10-13 17:00:00,2024-10-13 17:07:00,7,Minor Delay,Baggage Loading,2282,17
AM6040,American Airlines,MIA,CLT,2024-07-04,Thursday,July,2024-07-04 21:30:00,2024-07-05 02:08:00,278,Severe Delay,Aircraft Issue,1127,21
UN1364,United Airlines,MIA,ORD,2024-03-11,Monday,March,2024-03-11 13:00:00,2024-03-11 13:10:00,10,Minor Delay,Late Arrival,736,13
SP2627,Spirit Airlines,CLT,MCO,2024-11-01,Friday,November,2024-11-01 19:15:00,2024-11-01 20:07:00,52,Moderate Delay,Late Arrival,1692,19
SO7377,Southwest Airlines,LGA,MIA,2024-12-12,Thursday,December,2024-12-12 18:45:00,2024-12-12 18:53:00,8,Minor Delay,Air Traffic Control,1467,18
SO6126,Southwest Airlines,SLC,PHL,2024-08-28,Wednesday,August,2024-08-28 23:45:00,2024-08-29 03:30:00,225,Severe Delay,Airport Congestion,863,23
UN4196,United Airlines,DFW,SLC,2024-04-12,Friday,April,2024-04-12 13:30:00,2024-04-12 13:51:00,21,Moderate Delay,Weather,2313,13
JE1474,JetBlue Airways,CLT,MIA,2024-03-04,Monday,March,2024-03-04 12:15:00,2024-03-04 13:31:00,76,Severe Delay,Aircraft Issue,2047,12
AM6897,American Airlines,DFW,EWR,2024-06-27,Thursday,June,2024-06-27 13:15:00,2024-06-27 13:28:00,13,Minor Delay,Air Traffic Control,1735,13
AM5321,American Airlines,ORD,IAD,2024-04-24,Wednesday,April,2024-04-24 16:15:00,2024-04-24 16:18:00,3,Minor Delay,Baggage Loading,2135,16
UN7785,United Airlines,SFO,BWI,2024-12-22,Sunday,December,2024-12-22 00:00:00,2024-12-22 00:03:00,3,Minor Delay,Air Traffic Control,812,0
SP1921,Spirit Airlines,MIA,LAS,2024-10-07,Monday,October,2024-10-07 09:00:00,2024-10-07 09:11:00,11,Minor Delay,Late Arrival,2751,9
DE1916,Delta Air Lines,BOS,BWI,2024-08-22,Thursday,August,2024-08-22 14:15:00,2024-08-22 17:14:00,179,Severe Delay,Airport Congestion,206,14
AL4041,Alaska Airlines,PHL,EWR,2024-11-10,Sunday,November,2024-11-10 07:00:00,2024-11-10 07:06:00,6,Minor Delay,Baggage Loading,477,7
AM6497,American Airlines,BOS,DFW,2024-09-26,Thursday,September,2024-09-26 15:30:00,2024-09-26 15:43:00,13,Minor Delay,Air Traffic Control,1662,15
AL4050,Alaska Airlines,IAD,SLC,2024-02-04,Sunday,February,2024-02-04 15:30:00,2024-02-04 15:41:00,11,Minor Delay,Baggage Loading,2436,15
UN7712,United Airlines,SAN,BOS,2024-06-22,Saturday,June,2024-06-22 15:15:00,2024-06-22 15:22:00,7,Minor Delay,Baggage Loading,351,15
SO817,Southwest Airlines,MCO,DFW,2024-05-30,Thursday,May,2024-05-30 09:30:00,2024-05-30 09:33:00,3,Minor Delay,Late Arrival,2139,9
AM3231,American Airlines,MIA,JFK,2024-05-09,Thursday,May,2024-05-09 19:00:00,2024-05-09 22:19:00,199,Severe Delay,Crew Issue,709,19
SP6653,Spirit Airlines,IAD,SFO,2024-07-07,Sunday,July,2024-07-07 20:45:00,2024-07-07 20:46:00,1,Minor Delay,Air Traffic Control,2232,20
